id|cet|struct
594|布玄|11c7n1
595|胡涓|83o7n1
596|呼煙|82c7n1
597|崇玄|53c7n1
598|相然|44c5n1
599|昨仙|43c5n1
600|七然|42c5n1
601|子仙|41c5n1
602|如延|66c5n1
603|以然|85c5n1
604|諸延|61c5n1
605|居延|71c5n1
606|張連|31c6n1
607|士連|53c6n1
608|式連|64c5n1
609|丑延|32c6n1
610|市連|63c5n1
611|直連|33c6n1
612|許延|82c5n1
613|力延|25c5n1
614|芳連|12c5n1
615|房連|13c5n1
616|武延|14c5n1
617|疾緣|43o5n1
618|須緣|44o5n1
619|子泉|41o5n1
620|許緣|82o5n1
621|而緣|66o5n1
622|昌緣|62o5n1
623|與專|85o5n1
624|似宣|45o5n1
625|於緣|81o5n1
626|食川|65o5n1
627|卑連|11c5n1
628|夕連|45c5n1
629|此緣|42o5n1
630|職緣|61o5n1
631|市緣|63o5n1
632|王權|84o6n1
633|莊緣|51o6n1
634|山員|54o6n1
635|丑緣|32o6n1
636|渠焉|73c6n1
637|去乾|72c6n1
638|巨員|73o6n1
639|直攣|33o6n1
640|呂員|25o5n1
641|丘圓|72o6n1
642|於乾|81c6n1
643|有乾|84c6n1
644|於權|81o6n1
645|尺延|62c5n1
646|丁全|31o6n1
647|居員|71o6n1
648|蘇彫|44c7o1
649|吐彫|22c7o1
650|都聊|21c7o1
651|徒聊|23c7o1
652|古堯|71c7o1
653|落蕭|25c7o1
654|五聊|74c7o1
655|許幺|82c7o1
656|於堯|81c7o1
657|苦幺|72c7o1
658|相邀|44c5o1
659|敕宵|32c6o1
660|陟遙|31c6o1
661|直遙|33c6o1
662|許嬌|82c6o1
663|昨焦|43c5o1
664|舉喬|71c6o1
665|即消|41c5o1
666|如招|66c5o1
667|式招|64c5o1
668|餘昭|85c5o1
669|市昭|63c5o1
670|止遙|61c5o1
671|甫遙|11c5o1
672|甫嬌|11c6o1
673|符霄|13c5o1
674|彌遙|14c5o1
675|武瀌|14c6o1
676|於霄|81c5o1
677|于嬌|84c6o1
678|巨嬌|73c6o1
679|七遙|42c5o1
680|於喬|81c6o1
681|去遙|72c5o1
682|尺招|62c5o1
683|撫招|12c5o1
684|渠遙|73c5o1
685|力昭|25c5o1
686|起嚻|72c6o1
687|胡茅|83c2o1
688|古肴|71c2o1
689|鉏交|53c2o1
690|女交|34c2o1
691|所交|54c2o1
692|莫交|14c2o1
693|許交|82c2o1
694|布交|11c2o1
695|匹交|12c2o1
696|口交|72c2o1
697|五交|74c2o1
698|側交|51c2o1
699|陟交|31c2o1
700|楚交|52c2o1
701|薄交|13c2o1
702|於交|81c2o1
703|敕交|32c2o1
704|力嘲|25c2o1
705|直交|33c2o1
706|胡刀|83c1o1
707|古勞|71c1o1
708|魯刀|25c1o1
709|呼毛|82c1o1
710|莫袍|14c1o1
711|土刀|22c1o1
712|都勞|21c1o1
713|蘇遭|44c1o1
714|薄襃|13c1o1
715|博毛|11c1o1
716|徒刀|23c1o1
717|作曹|41c1o1
718|五勞|74c1o1
719|昨勞|43c1o1
720|於刀|81c1o1
721|奴刀|24c1o1
722|苦刀|72c1o1
723|七刀|42c1o1
724|普袍|12c1o1
725|古俄|71c1p1
726|七何|42c1p1
727|得何|21c1p1
728|素何|44c1p1
729|徒河|23c1p1
730|昨何|43c1p1
731|五何|74c1p1
732|託何|22c1p1
733|魯何|25c1p1
734|諾何|24c1p1
735|胡歌|83c1p1
736|虎何|82c1p1
737|苦何|72c1p1
738|烏何|81c1p1
739|古禾|71o1p1
740|七戈|42o1p1
741|丁戈|21o1p1
742|蘇禾|44o1p1
743|薄波|13o1p1
744|徒和|23o1p1
745|莫婆|14o1p1
746|昨禾|43o1p1
747|五禾|74o1p1
748|土禾|22o1p1
749|落戈|25o1p1
750|奴禾|24o1p1
751|博禾|11o1p1
752|滂禾|12o1p1
753|戸戈|83o1p1
754|苦禾|72o1p1
755|烏禾|81o1p1
756|許𦚢|82o3p1
757|於靴|81o3p1
758|去靴|72o3p1
759|求迦|73c3p1
760|丘伽|72c3p1
761|居伽|71c3p1
762|醋伽|42o3p1
763|子𩩆|41o3p1
764|巨靴|73o3p1
765|縷𩨭|25o3p1
766|莫霞|14c2q1
767|尺遮|62c4q1
768|式車|64c4q1
769|以遮|85c4q1
770|正奢|61c4q1
771|子邪|41c4q1
772|食遮|65c4q1
773|戸花|83o2q1
774|古華|71o2q1
775|呼瓜|82o2q1
776|苦瓜|72o2q1
777|女加|34c2q1
778|古牙|71c2q1
779|胡加|83c2q1
780|普巴|12c2q1
781|於加|81c2q1
782|伯加|11c2q1
783|初加|52c2q1
784|所加|54c2q1
785|五加|74c2q1
786|側加|51c2q1
787|宅加|33c2q1
788|似嗟|45c4q1
789|視遮|63c4q1
790|烏瓜|81o2q1
791|莊華|51o2q1
792|陟瓜|31o2q1
793|蒲巴|13c2q1
794|鉏加|53c2q1
795|敕加|32c2q1
796|陟加|31c2q1
797|許加|82c2q1
798|苦加|72c2q1
799|才邪|43c4q1
800|人賒|66c4q1
801|寫邪|44c4q1
802|陟邪|31c4q1
803|五瓜|74o2q1
804|乞加|72c2q1
805|與章|85c4r1
806|似羊|45c4r1
807|呂章|25c4r1
808|許良|82c4r1
809|式羊|64c4r1
810|符方|13o4r1
811|諸良|61c4r1
812|尺良|62c4r1
813|去羊|72c4r1
814|居良|71c4r1
815|直良|33c4r1
816|陟良|31c4r1
817|汝陽|66c4r1
818|府良|11o4r1
819|息良|44c4r1
820|即良|41c4r1
821|初良|52c4r1
822|武方|14o4r1
823|女良|34c4r1
824|士莊|53c4r1
825|側羊|51c4r1
826|市羊|63c4r1
827|色莊|54c4r1
828|在良|43c4r1
829|七羊|42c4r1
830|去王|72o4r1
831|雨方|84o4r1
832|於良|81c4r1
833|巨良|73c4r1
834|禇羊|32c4r1
835|敷方|12o4r1
836|巨王|73o4r1
837|徒郎|23c1r1
838|魯當|25c1r1
839|都郎|21c1r1
840|七岡|42c1r1
841|古郎|71c1r1
842|息郎|44c1r1
843|苦岡|72c1r1
844|呼光|82o1r1
845|胡光|83o1r1
846|古黃|71o1r1
847|吐郎|22c1r1
848|普郎|12c1r1
849|烏光|81o1r1
850|烏郎|81c1r1
851|呼郎|82c1r1
852|胡郎|83c1r1
853|莫郎|14c1r1
854|則郎|41c1r1
855|奴當|24c1r1
856|步光|13c1r1
857|五岡|74c1r1
858|昨郎|43c1r1
859|苦光|72o1r1
860|博旁|11c1r1
861|古行|71c2s1
862|客庚|72c2s1
863|武庚|14c2s1
864|戸盲|83o2s1
865|甫盲|11c2s1
866|虎橫|82o2s1
867|古橫|71o2s1
868|薄庚|13c2s1
869|許庚|82c2s1
870|丑庚|32c2s1
871|楚庚|52c2s1
872|助庚|53c2s1
873|於驚|81c3s1
874|撫庚|12c3s1
875|符兵|13c3s1
876|舉卿|71c3s1
877|武兵|14c3s1
878|直庚|33c2s1
879|竹盲|31c2s1
880|永兵|84o3s1
881|甫明|11c3s1
882|許榮|82o3s1
883|去京|72c3s1
884|所庚|54c2s1
885|渠京|73c3s1
886|語京|74c3s1
887|戸庚|83c2s1
888|乃庚|34c2s1
889|古莖|71c2t1
890|口莖|72c2t1
891|莫耕|14c2t1
892|布耕|11c2t1
893|戸萌|83o2t1
894|戸耕|83c2t1
895|中莖|31c2t1
896|烏莖|81c2t1
897|士莖|53c2t1
898|楚耕|52c2t1
899|女耕|34c2t1
900|普耕|12c2t1
901|呼宏|82o2t1
902|北萌|11c2t1
903|宅耕|33c2t1
904|烏宏|81o2t1
905|薄萌|13c2t1
906|五莖|74c2t1
907|側莖|51c2t1
908|七情|42c4t1
909|疾盈|43c4t1
910|子盈|41c4t1
911|以成|85c4t1
912|余傾|85o4t1
913|於盈|81c4t1
914|陟盈|31c4t1
915|丑貞|32c4t1
916|是征|63c4t1
917|直貞|33c4t1
918|書盈|64c4t1
919|諸盈|61c4t1
920|去盈|72c4t1
921|武并|14c4t1
922|呂貞|25c4t1
923|府盈|11c4t1
924|去營|72o4t1
925|徐盈|45c4t1
926|於營|81o4t1
927|渠營|73o4t1
928|息營|44o4t1
929|巨成|73c4t1
930|火營|82o4t1
931|倉經|42c7t1
932|古靈|71c7t1
933|戸經|83c7t1
934|特丁|23c7t1
935|當經|21c7t1
936|呼刑|82c7t1
937|桑經|44c7t1
938|普丁|12c7t1
939|郎丁|25c7t1
940|奴丁|24c7t1
941|他丁|22c7t1
942|莫經|14c7t1
943|薄經|13c7t1
944|戸扃|83o7t1
945|古螢|71o7t1
946|煑仍|61c4u1
947|署陵|63c4u1
948|直陵|33c4u1
949|力膺|25c4u1
950|於陵|81c4u1
951|扶冰|13c4u1
952|筆陵|11c4u1
953|余陵|85c4u1
954|食陵|65c4u1
955|識蒸|64c4u1
956|如乗|66c4u1
957|居陵|71c4u1
958|陟陵|31c4u1
959|疾陵|43c4u1
960|魚陵|74c4u1
961|虚陵|82c4u1
962|處陵|62c4u1
963|其矜|73c4u1
964|山矜|54c4u1
965|綺兢|72c4u1
966|丑升|32c4u1
967|仕兢|53c4u1
968|披冰|12c4u1
969|都滕|21c1u1
970|魯登|25c1u1
971|蘇增|44c1u1
972|北滕|11c1u1
973|作滕|41c1u1
974|武登|14c1u1
975|昨楞|43c1u1
976|步崩|13c1u1
977|胡肱|83o1u1
978|古弘|71o1u1
979|呼肱|82o1u1
980|奴登|24c1u1
981|徒登|23c1u1
982|胡登|83c1u1
983|古恒|71c1u1
984|他登|22c1u1
985|普朋|12c1u1
986|羽求|84c4v1
987|於求|81c4v1
988|力求|25c4v1
989|七由|42c4v1
990|以周|85c4v1
991|語求|74c4v1
992|即由|41c4v1
993|自秋|43c4v1
994|息流|44c4v1
995|丑鳩|32c4v1
996|去秋|72c4v1
997|赤周|62c4v1
998|職流|61c4v1
999|市流|63c4v1
1000|耳由|66c4v1
1001|式州|64c4v1
1002|去鳩|72c4v1
1003|匹尤|12c4v1
1004|居求|71c4v1
1005|甫鳩|11c4v1
1006|所鳩|54c4v1
1007|楚鳩|52c4v1
1008|側鳩|51c4v1
1009|士尤|53c4v1
1010|許尤|82c4v1
1011|似尤|45c4v1
1012|直由|33c4v1
1013|張流|31c4v1
1014|巨鳩|73c4v1
1015|縛謀|13c4v1
1016|莫浮|14c4v1
1017|戸鉤|83c1v1
1018|烏侯|81c1v1
1019|奴鉤|24c1v1
1020|落侯|25c1v1
1021|速侯|44c1v1
1022|恪侯|72c1v1
1023|呼侯|82c1v1
1024|子侯|41c1v1
1025|託侯|22c1v1
1026|度侯|23c1v1
1027|五婁|74c1v1
1028|古侯|71c1v1
1029|當侯|21c1v1
1030|徂鉤|43c1v1
1031|薄侯|13c1v1
1032|千侯|42c1v1
1033|亡侯|14c1v1
1034|於虯|81c4w1
1035|渠幽|73c4w1
1036|甫烋|11c4w1
1037|力幽|25c4w1
1038|居虯|71c4w1
1039|皮彪|13c4w1
1040|子幽|41c4w1
1041|山幽|54c4w1
1042|語虯|74c4w1
1043|香幽|82c4w1
1044|武彪|14c4w1
1045|七林|42c5x1
1046|徐林|45c5x1
1047|力尋|25c5x1
1048|丑林|32c6x1
1049|職深|61c5x1
1050|直深|33c6x1
1051|知林|31c6x1
1052|氏任|63c5x1
1053|如林|66c5x1
1054|式針|64c5x1
1055|餘針|85c5x1
1056|息林|44c5x1
1057|挹淫|81c5x1
1058|子心|41c5x1
1059|昨淫|43c5x1
1060|女心|34c6x1
1061|巨金|73c6x1
